Date,Clicks,Impressions,CTR,Position
2024-10-25,46,2073,2.22%,14.61
2024-10-24,53,2341,2.26%,15.42
2024-10-23,72,2425,2.97%,15.15
2024-10-22,86,2371,3.63%,15.01
2024-10-21,66,2322,2.84%,15.97
2024-10-20,36,1258,2.86%,21.26
2024-10-19,31,1047,2.96%,21.9
2024-10-18,53,1993,2.66%,16.38
2024-10-17,61,2508,2.43%,14.62
2024-10-16,62,2257,2.75%,15.29
2024-10-15,50,1973,2.53%,15.45
2024-10-14,50,1891,2.64%,17.9
2024-10-13,30,1101,2.72%,22.72
2024-10-12,19,807,2.35%,25.63
2024-10-11,67,1511,4.43%,16.38
2024-10-10,38,1946,1.95%,15.64
2024-10-09,101,2119,4.77%,15.03
2024-10-08,108,2148,5.03%,15.98
2024-10-07,50,1880,2.66%,15.68
2024-10-06,28,1090,2.57%,20.89
2024-10-05,14,870,1.61%,22.79
2024-10-04,36,1500,2.4%,16.42
2024-10-03,61,1893,3.22%,16.51
2024-10-02,115,2081,5.53%,15.04
2024-10-01,51,1959,2.6%,15.07
2024-09-30,57,1894,3.01%,15.49
2024-09-29,12,1009,1.19%,19.76
2024-09-28,21,793,2.65%,21.28
2024-09-27,43,1508,2.85%,14.91
2024-09-26,60,1817,3.3%,15.01
2024-09-25,74,2076,3.56%,15.79
2024-09-24,60,1910,3.14%,14.57
2024-09-23,46,1912,2.41%,14.74
2024-09-22,15,1025,1.46%,19.33
2024-09-21,47,978,4.81%,20.88
2024-09-20,60,1683,3.57%,15.05
2024-09-19,100,2111,4.74%,13.79
2024-09-18,71,2070,3.43%,14.57
2024-09-17,74,2129,3.48%,12.95
2024-09-16,75,1924,3.9%,13.76
2024-09-15,26,1112,2.34%,19.19
2024-09-14,41,907,4.52%,19.25
2024-09-13,37,1643,2.25%,16.53
2024-09-12,45,2084,2.16%,16.18
2024-09-11,50,1870,2.67%,14.63
2024-09-10,82,1996,4.11%,15.31
2024-09-09,41,1805,2.27%,16.22
2024-09-08,17,857,1.98%,21.66
2024-09-07,12,656,1.83%,22.9
2024-09-06,33,1469,2.25%,15.7
2024-09-05,25,1754,1.43%,15.44
2024-09-04,30,1695,1.77%,16.01
2024-09-03,42,1652,2.54%,15.93
2024-09-02,56,1412,3.97%,16.68
2024-09-01,20,762,2.62%,20.65
2024-08-31,10,614,1.63%,22.44
2024-08-30,21,1324,1.59%,16.18
2024-08-29,40,1669,2.4%,15.51
2024-08-28,29,1820,1.59%,22.43
2024-08-27,47,1711,2.75%,16.39
2024-08-26,35,1511,2.32%,16.19
2024-08-25,13,823,1.58%,22.65
2024-08-24,23,869,2.65%,26.98
2024-08-23,33,1562,2.11%,17.95
2024-08-22,43,1822,2.36%,15.99
2024-08-21,51,1998,2.55%,15.36
2024-08-20,36,1942,1.85%,14.74
2024-08-19,56,1814,3.09%,15.73
2024-08-18,20,964,2.07%,21.72
2024-08-17,7,616,1.14%,20.65
2024-08-16,37,1419,2.61%,16.51
2024-08-15,36,1690,2.13%,15.3
2024-08-14,65,1823,3.57%,15.46
2024-08-13,27,1832,1.47%,14.94
2024-08-12,84,1922,4.37%,14.32
2024-08-11,13,897,1.45%,20.95
2024-08-10,10,757,1.32%,23.29
2024-08-09,26,1443,1.8%,17.41
2024-08-08,48,1877,2.56%,16.13
2024-08-07,42,1818,2.31%,14.97
2024-08-06,27,1789,1.51%,16.26
2024-08-05,49,1705,2.87%,15.52
2024-08-04,26,809,3.21%,20.91
2024-08-03,25,675,3.7%,22.39
2024-08-02,23,1388,1.66%,16.48
2024-08-01,32,1641,1.95%,15
2024-07-31,23,1808,1.27%,16.04
2024-07-30,70,1822,3.84%,15.31
2024-07-29,91,1826,4.98%,13.85
2024-07-28,39,897,4.35%,18.49
2024-07-27,25,678,3.69%,20.32
2024-07-26,50,1450,3.45%,14.82
2024-07-25,72,1905,3.78%,14.32
2024-07-24,74,1965,3.77%,14.74
2024-07-23,28,1958,1.43%,14.64
2024-07-22,38,1836,2.07%,14.83
2024-07-21,17,920,1.85%,22.09
2024-07-20,9,769,1.17%,23.15
2024-07-19,26,1478,1.76%,15.66
2024-07-18,56,1872,2.99%,14.37
2024-07-17,44,1921,2.29%,15.17
2024-07-16,54,1866,2.89%,13.77
2024-07-15,52,1801,2.89%,14.88
2024-07-14,10,839,1.19%,21.93
2024-07-13,11,706,1.56%,24.22
2024-07-12,38,1391,2.73%,16.4
2024-07-11,59,1759,3.35%,15.23
2024-07-10,32,1805,1.77%,16.03
2024-07-09,51,1749,2.92%,15.73
2024-07-08,35,1785,1.96%,15.42
2024-07-07,11,866,1.27%,22.95
2024-07-06,8,702,1.14%,23.97
2024-07-05,18,1380,1.3%,17.79
2024-07-04,40,1521,2.63%,16.96
2024-07-03,39,1843,2.12%,14.97
2024-07-02,37,1858,1.99%,14.34
2024-07-01,28,1762,1.59%,14.55
2024-06-30,8,890,0.9%,19.85
2024-06-29,14,701,2%,20.04
2024-06-28,36,1550,2.32%,14.52
2024-06-27,25,1911,1.31%,14.47
2024-06-26,26,1946,1.34%,14.17
2024-06-25,45,2004,2.25%,15.32
2024-06-24,49,2006,2.44%,15.58
2024-06-23,28,1036,2.7%,17.69
2024-06-22,14,756,1.85%,20.58
2024-06-21,28,1596,1.75%,15.27
2024-06-20,35,1917,1.83%,14.84
2024-06-19,54,1872,2.88%,14.72
2024-06-18,43,1990,2.16%,14.59
2024-06-17,30,1955,1.53%,14.12
2024-06-16,16,880,1.82%,20.36
2024-06-15,15,724,2.07%,20.04
2024-06-14,30,1635,1.83%,15.08
2024-06-13,49,1942,2.52%,13.81
2024-06-12,44,2085,2.11%,14.33
2024-06-11,46,2042,2.25%,14.64
2024-06-10,42,2008,2.09%,15.33
2024-06-09,11,919,1.2%,20.47
2024-06-08,10,723,1.38%,21.78
2024-06-07,30,1506,1.99%,16.35
2024-06-06,77,1803,4.27%,15.87
2024-06-05,32,1751,1.83%,18.28
2024-06-04,27,1587,1.7%,16.85
2024-06-03,45,1732,2.6%,19.16
2024-06-02,12,820,1.46%,23.72
2024-06-01,11,621,1.77%,22.86
2024-05-31,31,1249,2.48%,17.37
2024-05-30,50,1426,3.51%,18.55
2024-05-29,44,1549,2.84%,16.53
2024-05-28,56,1740,3.22%,20.39
2024-05-27,29,1543,1.88%,28.92
2024-05-26,12,1096,1.09%,35.7
2024-05-25,5,982,0.51%,34.51
2024-05-24,28,1603,1.75%,28.14
2024-05-23,42,1869,2.25%,26.06
2024-05-22,29,1933,1.5%,26.07
2024-05-21,32,1779,1.8%,25.45
2024-05-20,26,1259,2.07%,26.27
2024-05-19,8,1069,0.75%,29.01
2024-05-18,12,806,1.49%,32.51
2024-05-17,39,1183,3.3%,21.52
2024-05-16,34,1395,2.44%,18.32
2024-05-15,60,1672,3.59%,22.3
2024-05-14,46,1517,3.03%,19.17
2024-05-13,38,1431,2.66%,19.69
2024-05-12,11,705,1.56%,23.28
2024-05-11,18,553,3.25%,22.63
2024-05-10,24,1081,2.22%,18.17
2024-05-09,30,1231,2.44%,20.89
2024-05-08,30,1529,1.96%,24.57
2024-05-07,36,1478,2.44%,25.05
2024-05-06,29,1433,2.02%,25.03
2024-05-05,26,1103,2.36%,31.13
2024-05-04,21,692,3.03%,29.29
2024-05-03,47,1289,3.65%,19.01
2024-05-02,61,1357,4.5%,21.44
2024-05-01,41,1175,3.49%,23.08
2024-04-30,45,1474,3.05%,20.92
2024-04-29,54,1534,3.52%,21.49
2024-04-28,26,929,2.8%,32.5
2024-04-27,10,766,1.31%,34.46
2024-04-26,38,1261,3.01%,23.31
2024-04-25,28,1531,1.83%,23.34
2024-04-24,44,1628,2.7%,20.78
2024-04-23,44,1575,2.79%,19.15
2024-04-22,45,1492,3.02%,17.64
2024-04-21,15,866,1.73%,24.84
2024-04-20,22,728,3.02%,24.36
2024-04-19,46,1217,3.78%,19.19
2024-04-18,42,1665,2.52%,19.9
2024-04-17,60,1499,4%,18.44
2024-04-16,49,1372,3.57%,17.04
2024-04-15,47,1319,3.56%,17.84
2024-04-14,15,671,2.24%,21.45
2024-04-13,29,677,4.28%,23.36
2024-04-12,24,1132,2.12%,18.44
2024-04-11,31,1474,2.1%,16.82
2024-04-10,37,1620,2.28%,17.15
2024-04-09,46,1434,3.21%,17.42
2024-04-08,45,1423,3.16%,19.93
2024-04-07,21,811,2.59%,23.88
2024-04-06,13,669,1.94%,27.02
2024-04-05,35,1070,3.27%,20.22
2024-04-04,33,1539,2.14%,22.26
2024-04-03,42,1357,3.1%,21.81
2024-04-02,26,1216,2.14%,19.86
2024-04-01,43,1037,4.15%,22.08
2024-03-31,14,553,2.53%,24.34
2024-03-30,8,484,1.65%,27.67
2024-03-29,22,747,2.95%,21.32
2024-03-28,35,981,3.57%,19.5
2024-03-27,45,1020,4.41%,19.09
2024-03-26,47,1072,4.38%,19.07
2024-03-25,56,1163,4.82%,18.97
2024-03-24,24,729,3.29%,26.03
2024-03-23,25,482,5.19%,25.52
2024-03-22,43,1150,3.74%,20.96
2024-03-21,37,1139,3.25%,18.36
2024-03-20,52,1063,4.89%,18.63
2024-03-19,42,1100,3.82%,19.55
2024-03-18,43,915,4.7%,18.76
2024-03-17,17,532,3.2%,26.4
2024-03-16,11,406,2.71%,26.52
2024-03-15,31,795,3.9%,20.53
2024-03-14,38,906,4.19%,18.79
2024-03-13,44,949,4.64%,21.41
2024-03-12,46,948,4.85%,22.64
2024-03-11,45,861,5.23%,19.53
2024-03-10,21,507,4.14%,24.11
2024-03-09,24,393,6.11%,22.61
2024-03-08,41,862,4.76%,21.54
2024-03-07,37,927,3.99%,21.61
2024-03-06,67,935,7.17%,20.97
2024-03-05,39,988,3.95%,22.36
2024-03-04,43,820,5.24%,21.85
2024-03-03,29,470,6.17%,27.22
2024-03-02,17,386,4.4%,23.54
2024-03-01,31,677,4.58%,21.15
2024-02-29,51,781,6.53%,19.2
2024-02-28,30,762,3.94%,18.15
2024-02-27,40,785,5.1%,17.87
2024-02-26,33,755,4.37%,19.64
2024-02-25,23,484,4.75%,25.15
2024-02-24,29,396,7.32%,25.77
2024-02-23,41,613,6.69%,19.87
2024-02-22,45,935,4.81%,21.39
2024-02-21,50,958,5.22%,20.4
2024-02-20,52,853,6.1%,18.82
2024-02-19,26,649,4.01%,19.37
2024-02-18,21,441,4.76%,30.56
2024-02-17,24,361,6.65%,29.63
2024-02-16,42,727,5.78%,30.32
2024-02-15,77,830,9.28%,23.33
2024-02-14,86,733,11.73%,15.23
2024-02-13,25,680,3.68%,16.89
2024-02-12,27,681,3.96%,15.72
2024-02-11,10,351,2.85%,24.28
2024-02-10,7,289,2.42%,25.33
2024-02-09,20,523,3.82%,18.64
2024-02-08,20,674,2.97%,19.14
2024-02-07,38,694,5.48%,19.88
2024-02-06,33,726,4.55%,19.76
2024-02-05,34,738,4.61%,19.08
2024-02-04,20,461,4.34%,24.13
2024-02-03,16,571,2.8%,28.38
2024-02-02,31,690,4.49%,21.24
2024-02-01,37,670,5.52%,20.57
2024-01-31,44,651,6.76%,19.46
2024-01-30,52,695,7.48%,18.65
2024-01-29,51,736,6.93%,18.71
2024-01-28,17,424,4.01%,24.48
2024-01-27,8,299,2.68%,25.94
2024-01-26,19,562,3.38%,20.81
2024-01-25,76,845,8.99%,18.97
2024-01-24,238,1194,19.93%,19
2024-01-23,29,753,3.85%,21.55
2024-01-22,33,723,4.56%,21.72
2024-01-21,15,424,3.54%,23.57
2024-01-20,11,469,2.35%,27.26
2024-01-19,36,652,5.52%,21.14
2024-01-18,59,605,9.75%,19.75
2024-01-17,26,581,4.48%,19.3
2024-01-16,37,630,5.87%,19.12
2024-01-15,23,605,3.8%,21.34
