id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w
01011510,01,Alabama,AL,Chambers County,Camp Hill,Waverly,Town,place,36850,256,7054656,48649,32.730078,-85.570999,71026,60438,56646,41.6971961520149
01011520,01,Alabama,AL,Cullman County,Cullman,West Point,Town,place,35057,256,8833073,70375,34.23873,-86.964075,58314,49030,50015,169.126956996312
01011530,01,Alabama,AL,Randolph County,Woodland,Woodland,Town,place,36280,256,4036422,0,33.375627,-85.397439,48217,33446,42907,68.0651083865857
0101901,01,Alabama,AL,Chambers County,Wadley,Abanda,CDP,place,36276,256,7764034,34284,33.091627,-85.527029,14741,11398,10903,47.9984
0101910,01,Alabama,AL,Pickens County,Aliceville,Aliceville city,City,place,35442,205,11819855,0,33.123686,-88.159364,28347,20997,28311,1057.61739264125
0101920,01,Alabama,AL,Jefferson County,Odenville,Argo,Town,place,35120,205,27893577,150331,33.691576,-86.503766,242857,300000,25317,1.13310666666667
0101930,01,Alabama,AL,Lee County,Auburn,Auburn city,City,place,36830,334,152375113,2646161,32.607722,-85.489545,59694,38029,60946,13447.9138321012
0101940,01,Alabama,AL,Mobile County,Bayou La Batre,Bayou La Batre city,City,place,36509,251,19400655,368667,30.407586,-88.263271,50047,35147,43788,519.27481357065
0101950,01,Alabama,AL,Jefferson County,Bessemer,Bessemer city,City,place,35022,205,104798633,439841,33.370789,-86.971596,41239,29150,38565,7625.52857556492
0101960,01,Alabama,AL,Greene County,Boligee,Boligee,Town,place,35443,205,10231296,36323,32.7681,-88.028579,32777,12379,58584,196.086834832806
0101970,01,Alabama,AL,Marion County,Brilliant,Brilliant,Town,place,35548,205,27687370,0,34.025353,-87.769145,33353,25776,27149,334.951746154687
0101980,01,Alabama,AL,Shelby County,Calera,Calera city,City,place,35040,205,62376107,685210,33.122319,-86.745644,65576,64695,38729,2521.942893811
0101990,01,Alabama,AL,Pickens County,Carrollton,Carrollton,Town,place,35447,205,5331435,59271,33.261903,-88.095071,41709,27321,44007,239.687292628643
01021006,01,Alabama,AL,Autauga County,Moody,Autaugaville,Track,Track,35004,205,110354665,589709,33.5467968,-86.4306179,45862,32942,40674,1123.83961037007
01021016,01,Alabama,AL,Autauga County,Odenville,Autaugaville,Track,Track,35120,205,145753222,539155,33.7171728,-86.3824822,62222,56867,43036,1666.54038897558
01021026,01,Alabama,AL,Autauga County,Hoover,Autaugaville,Track,Track,35242,205,10526469,723081,33.4073199,-86.7204009,90262,71401,66042,1559.23822212516
01021036,01,Alabama,AL,Autauga County,Birmingham,Autaugaville,Track,Track,35242,205,7151912,58061,33.4007267,-86.6925733,92018,74570,65160,1035.30875752317
01021046,01,Alabama,AL,Autauga County,Chelsea,Autaugaville,Track,Track,35043,205,16899453,292332,33.3567902,-86.6754096,78399,71839,54844,641.301001348827
01021056,01,Alabama,AL,Autauga County,Maylene,Autaugaville,Track,Track,35114,205,8011090,34567,33.2332362,-86.8499076,85122,75896,58979,959.142977980007
0102106,01,Alabama,AL,Autauga County,Ohatchee,Autaugaville,Track,Track,36271,256,177682000,7624905,33.7687621,-86.0372827,66000,54091,47663,1009.15963234656
01021066,01,Alabama,AL,Autauga County,Panola,Autaugaville,Track,Track,35477,205,536090556,10788078,32.863881,-88.2623312,34064,28981,28466,438.079249201304
01021076,01,Alabama,AL,Autauga County,Talladega,Autaugaville,Track,Track,35160,256,10137995,8419,33.4548311,-86.0680822,38882,27264,45128,922.631146193386
01021086,01,Alabama,AL,Autauga County,Sylacauga,Autaugaville,Track,Track,35150,256,83495162,1251432,33.1485144,-86.2131565,40948,31044,36118,1265.89165850956
01021096,01,Alabama,AL,Autauga County,Dadeville,Autaugaville,Track,Track,36853,256,311017327,1997552,32.88789,-85.6951867,48421,35722,44616,1177.67705743682
01021106,01,Alabama,AL,Autauga County,Northport,Autaugaville,Track,Track,35475,205,32625607,5489082,33.3231423,-87.5661153,77977,74807,59517,502.910296518293
01021116,01,Alabama,AL,Autauga County,Holt,Autaugaville,Track,Track,35404,205,9071936,478045,33.2435354,-87.4825444,37965,29413,34880,615.744528440937
01021126,01,Alabama,AL,Autauga County,Tuscaloosa,Autaugaville,Track,Track,35401,205,1160279,0,33.2031136,-87.5527647,24931,12361,34393,484.260478680021
01021136,01,Alabama,AL,Autauga County,Tuscaloosa,Autaugaville,Track,Track,35404,205,12325885,108719,33.1807268,-87.4937929,60252,45803,55310,2029.90868696837
01021146,01,Alabama,AL,Autauga County,Holt,Autaugaville,Track,Track,35404,205,6641779,189874,33.2184585,-87.495102,53301,40174,43882,954.551848206814
01021156,01,Alabama,AL,Autauga County,Nauvoo,Autaugaville,Track,Track,35578,205,153528165,704066,33.9445989,-87.4646876,40072,29226,37412,1103.88352046728
0102116,01,Alabama,AL,Autauga County,Lanett,Autaugaville,Track,Track,36863,334,6948352,0,32.8580358,-85.2066713,35951,23009,38779,1174.45458780452
01021166,01,Alabama,AL,Autauga County,Millry,Autaugaville,Track,Track,36558,251,398488735,659562,31.6256633,-88.3415656,48623,40342,41443,764.841684011414
01021176,01,Alabama,AL,Autauga County,Arley,Autaugaville,Track,Track,35541,205,145680961,17493922,34.0964418,-87.2271905,49046,36818,42393,680.467613633589
01021186,01,Alabama,AL,Autauga County,Prattville,Autaugaville,Track,Track,36067,334,5349273,9054,32.4740243,-86.4597033,58180,51927,40722,510.844498343053
01021196,01,Alabama,AL,Autauga County,Elmore,Autaugaville,Track,Track,36025,334,8020338,60048,32.4473511,-86.4768097,41464,35150,30951,174.328239850479
01021206,01,Alabama,AL,Autauga County,Marbury,Autaugaville,Track,Track,36051,205,292756927,516153,32.6385222,-86.5148731,59061,300000,36002,341.521986778788
01021216,01,Alabama,AL,Autauga County,Perdido,Autaugaville,Track,Track,36562,251,971507312,37571032,31.1104762,-87.7868713,55216,43407,52450,291.78107689488
01021226,01,Alabama,AL,Autauga County,Bay Minette,Autaugaville,Track,Track,36507,251,17478851,155316,30.8969612,-87.7737368,36474,24377,31702,452.159013172281
01021236,01,Alabama,AL,Autauga County,Daphne,Autaugaville,Track,Track,36526,251,144260774,676568,30.6478335,-87.8437739,107603,97539,63498,939.725912501181
01021246,01,Alabama,AL,Autauga County,Loxley,Autaugaville,Track,Track,36551,251,55584945,274609,30.6114771,-87.7725676,50583,41882,37860,343.616966757028
01021256,01,Alabama,AL,Autauga County,Robertsdale,Autaugaville,Track,Track,36567,251,39371387,185367,30.5641292,-87.6870074,69996,300000,37937,178.758304616799
0102126,01,Alabama,AL,Autauga County,Clanton,Autaugaville,Track,Track,35045,205,64410623,251385,32.8695805,-86.6588881,56638,41768,48428,1636.79995993231
01021266,01,Alabama,AL,Autauga County,Fairhope,Autaugaville,Track,Track,36532,251,12365598,1268983,30.5408065,-87.891618,67864,52050,64026,547.269402361686
01021276,01,Alabama,AL,Autauga County,Foley,Autaugaville,Track,Track,36535,251,164751029,12027152,30.3802759,-87.7703177,71445,58784,51329,211.854953351018
01021286,01,Alabama,AL,Autauga County,Gulf Shores,Autaugaville,Track,Track,36547,251,34146324,8917573,30.2696285,-87.637277,65583,300000,59906,202.728190356
01021296,01,Alabama,AL,Autauga County,Foley,Autaugaville,Track,Track,36535,251,51913165,450591,30.3798842,-87.6650569,49212,300000,21308,345.325121595428
01021306,01,Alabama,AL,Autauga County,Pensacola,Autaugaville,Track,Track,32506,850,81473914,35304223,30.4111645,-87.4511185,57395,46769,46123,525.620463393664
01021316,01,Alabama,AL,Autauga County,Clayton,Autaugaville,Track,Track,36016,334,343304919,397957,31.6794432,-85.5577196,56947,45615,47083,215.49227901584
01021326,01,Alabama,AL,Autauga County,Eufaula,Autaugaville,Track,Track,36027,334,14630161,380622,31.92041,-85.1757409,43222,26304,47072,285.482583715206
01021336,01,Alabama,AL,Autauga County,Brent,Autaugaville,Track,Track,35034,205,691793540,3983687,32.9533249,-87.0043466,67555,54574,61374,173.524474236284
01021346,01,Alabama,AL,Autauga County,Oneonta,Autaugaville,Track,Track,35121,205,215168178,7529147,33.8723927,-86.4590322,34855,32407,21562,501.224647705478
01021356,01,Alabama,AL,Autauga County,Cleveland,Autaugaville,Track,Track,35049,205,117119604,607001,33.9974352,-86.544238,56385,49459,39388,488.448182501763
0102136,01,Alabama,AL,Autauga County,Gilbertown,Autaugaville,Track,Track,36908,251,578537985,1836706,31.9275928,-88.3326295,53998,39956,48887,1013.52632441261
01021366,01,Alabama,AL,Autauga County,Blountsville,Autaugaville,Track,Track,35031,205,248719996,1503784,34.0336235,-86.6373178,47717,30660,46395,295.219924081113
01021376,01,Alabama,AL,Autauga County,Hayden,Autaugaville,Track,Track,35079,205,181928636,1231658,33.9036637,-86.7813122,58684,47284,39926,512.883903645398
01021386,01,Alabama,AL,Autauga County,Union Springs,Autaugaville,Track,Track,36089,334,786335890,3475241,32.0821273,-85.8274935,30765,25206,26768,298.245517064669
01021396,01,Alabama,AL,Autauga County,Greenville,Autaugaville,Track,Track,36037,334,32192358,313969,31.7968287,-86.6541421,30564,21911,23037,278.191507682294
01021406,01,Alabama,AL,Autauga County,Mckenzie,Autaugaville,Track,Track,36456,334,264349344,236297,31.575083,-86.6086952,36333,27877,29844,404.477880711399
01021416,01,Alabama,AL,Autauga County,Anniston,Autaugaville,Track,Track,36201,256,6794602,649,33.6421021,-85.8410233,27581,15743,28241,298.182341222536
01021426,01,Alabama,AL,Autauga County,Anniston,Autaugaville,Track,Track,36207,256,16676645,14186,33.6345617,-85.7901308,55336,41259,45442,493.683765356653
01021436,01,Alabama,AL,Autauga County,Oxford,Autaugaville,Track,Track,36203,256,23519631,55597,33.6111325,-85.8764727,54371,46871,46868,251.353099243798
01021446,01,Alabama,AL,Autauga County,Anniston,Autaugaville,Track,Track,36201,256,54153086,275439,33.6132515,-85.9253597,49509,48881,28239,359.181958335484
01021456,01,Alabama,AL,Autauga County,Jacksonville,Autaugaville,Track,Track,36265,256,41129558,487657,33.7661796,-85.7864612,46650,41809,29011,382.887652125509
0102146,01,Alabama,AL,Autauga County,Jackson,Autaugaville,Track,Track,36545,251,447191122,17991801,31.3573817,-87.8407503,40352,30601,39286,386.135396521932
01021466,01,Alabama,AL,Autauga County,Jacksonville,Autaugaville,Track,Track,36265,256,13690915,23910,33.8369688,-85.7723498,33803,13029,35858,100.288101877071
01021476,01,Alabama,AL,Autauga County,Piedmont,Autaugaville,Track,Track,36272,256,87901995,514251,33.8952637,-85.5983598,35282,27332,29556,214.891852494871
01021486,01,Alabama,AL,Autauga County,Alexandria,Autaugaville,Track,Track,36250,256,97226556,796761,33.7837754,-85.9002899,72487,64034,45909,566.394152216584
01021496,01,Alabama,AL,Autauga County,Alexandria,Autaugaville,Track,Track,36250,256,89660986,294151,33.7188196,-85.9523544,0,0,0,0
01021506,01,Alabama,AL,Autauga County,Lafayette,Autaugaville,Track,Track,36862,334,675980103,2617356,32.8660782,-85.4616055,45966,300000,34017,352.162557583042
01021516,01,Alabama,AL,Autauga County,Lanett,Autaugaville,Track,Track,36863,334,132910142,178276,32.7766468,-85.2734917,38000,30130,30948,138.05837803993
01021526,01,Alabama,AL,Autauga County,Valley,Autaugaville,Track,Track,36854,334,9688028,0,32.8362807,-85.1725763,44019,27057,50751,263.194872973633
01021536,01,Alabama,AL,Autauga County,Sand Rock,Autaugaville,Track,Track,35983,256,233670765,33296082,34.1991534,-85.7578347,57239,43170,47243,573.214431080469
01021546,01,Alabama,AL,Autauga County,Spring Garden,Autaugaville,Track,Track,36275,256,373046666,29730687,34.0861716,-85.5068892,51542,300000,60348,208.36494439656
01021556,01,Alabama,AL,Autauga County,Clanton,Autaugaville,Track,Track,35045,205,64410623,251385,32.8695805,-86.6588881,54388,37212,48573,315.586973485494
0102156,01,Alabama,AL,Autauga County,Jack,Autaugaville,Track,Track,36346,334,208213147,177901,31.5375844,-85.8984006,47550,35327,39518,518.148434304415
01021566,01,Alabama,AL,Autauga County,Jemison,Autaugaville,Track,Track,35085,205,244387804,1211895,32.9910458,-86.8010803,40648,33316,32761,353.584069788347
01021576,01,Alabama,AL,Autauga County,Verbena,Autaugaville,Track,Track,36091,205,256404827,4346403,32.7592425,-86.5260002,67265,46110,59481,295.760606532616
01021586,01,Alabama,AL,Autauga County,Butler,Autaugaville,Track,Track,36904,205,752526706,7297622,32.0656633,-88.2128479,55952,40705,54619,162.594213163544
01021596,01,Alabama,AL,Autauga County,Thomasville,Autaugaville,Track,Track,36784,334,249006278,71854,31.7929013,-87.6425154,40451,36477,28494,195.891207983014
010216,01,Alabama,AL,Autauga County,Robertsdale,Autaugaville,Track,Track,36567,251,737211648,3860933,30.7200267,-87.6245437,64173,45281,57389,1048.75578975422
01021606,01,Alabama,AL,Autauga County,Grove Hill,Autaugaville,Track,Track,36451,251,832734330,4857552,31.6170174,-87.6979772,50714,38228,55570,370.39832854273
01021616,01,Alabama,AL,Autauga County,Jackson,Autaugaville,Track,Track,36545,251,107872399,2504038,31.5011616,-87.8723338,40592,23781,37971,300.250093123188
01021626,01,Alabama,AL,Autauga County,Ashland,Autaugaville,Track,Track,36251,256,383065566,777286,33.1785156,-85.7815679,44628,35064,33198,165.063184766647
01021636,01,Alabama,AL,Autauga County,Heflin,Autaugaville,Track,Track,36264,256,243823026,915596,33.6989979,-85.5727972,31459,25199,32837,452.884645726814
01021646,01,Alabama,AL,Autauga County,Jack,Autaugaville,Track,Track,36346,334,208213147,177901,31.5375844,-85.8984006,51782,34974,43086,178.42680488593
01021656,01,Alabama,AL,Autauga County,Kinston,Autaugaville,Track,Track,36453,334,128071075,606802,31.2721909,-86.1506243,46792,30746,46019,202.793398943271
0102166,01,Alabama,AL,Autauga County,Enterprise,Autaugaville,Track,Track,36330,334,40693675,151495,31.3627415,-85.8358304,88951,84211,56279,1360.07819746712
01021666,01,Alabama,AL,Autauga County,Enterprise,Autaugaville,Track,Track,36330,334,40693675,151495,31.3627415,-85.8358304,61449,49254,51536,378.882150939945
01021676,01,Alabama,AL,Autauga County,Sheffield,Autaugaville,Track,Track,35660,256,4408833,784132,34.7708294,-87.6799629,51659,42586,39138,285.493685236322
01021686,01,Alabama,AL,Autauga County,Tuscumbia,Autaugaville,Track,Track,35674,256,5259140,1044191,34.7403319,-87.7337767,46357,300000,26728,178.99597969184
01021696,01,Alabama,AL,Autauga County,Muscle Shoals,Autaugaville,Track,Track,35662,256,112842678,7290274,34.7242107,-87.6264192,72532,65185,55384,606.04479776625
01021706,01,Alabama,AL,Autauga County,Leighton,Autaugaville,Track,Track,35646,256,118959123,20802427,34.774634,-87.5053473,51460,38525,36757,475.446886715384
01021716,01,Alabama,AL,Autauga County,Tuscumbia,Autaugaville,Track,Track,35674,256,259170483,7552968,34.6686652,-87.822804,44527,38139,36681,381.490179354717
01021726,01,Alabama,AL,Autauga County,Castleberry,Autaugaville,Track,Track,36432,251,480256655,3016837,31.3411108,-87.0387457,31633,28982,24289,409.278686045834
01021736,01,Alabama,AL,Autauga County,Rockford,Autaugaville,Track,Track,35136,256,251376931,1562316,32.9929287,-86.0738794,33042,23325,31099,330.22005689001
01021746,01,Alabama,AL,Autauga County,Andalusia,Autaugaville,Track,Track,36421,334,359424460,10780680,31.4420655,-86.3998913,53559,300000,24136,139.095073629929
01021756,01,Alabama,AL,Autauga County,Andalusia,Autaugaville,Track,Track,36421,334,49938350,583714,31.3443958,-86.463852,58835,41801,49863,382.155261339718
0102176,01,Alabama,AL,Autauga County,Muscle Shoals,Autaugaville,Track,Track,35661,256,8140717,0,34.7471222,-87.6398474,61868,56246,44831,1277.26879883982
01021766,01,Alabama,AL,Autauga County,Opp,Autaugaville,Track,Track,36467,334,154675236,2461722,31.3570171,-86.2401037,46327,31463,35525,174.959959497442
01021776,01,Alabama,AL,Autauga County,Opp,Autaugaville,Track,Track,36467,334,249816869,1830023,31.1810184,-86.2787253,60141,43585,50751,273.525127261098
01021786,01,Alabama,AL,Autauga County,Luverne,Autaugaville,Track,Track,36049,334,374196528,755161,31.7244285,-86.3608435,40683,28886,35812,374.555075400344
01021796,01,Alabama,AL,Autauga County,Baileyton,Autaugaville,Track,Track,35019,256,147196339,1148200,34.2616429,-86.5683185,61900,65528,43897,195.687209761417
01021806,01,Alabama,AL,Autauga County,Vinemont,Autaugaville,Track,Track,35179,256,89849348,1236612,34.2715006,-86.8345066,53673,39630,49847,261.856920653949
01021816,01,Alabama,AL,Autauga County,Cullman,Autaugaville,Track,Track,35055,256,70914526,477574,34.1565069,-86.8940425,63213,300000,38851,286.024105025601
01021826,01,Alabama,AL,Autauga County,Cullman,Autaugaville,Track,Track,35055,256,47570866,2530408,34.2012855,-86.8254882,37893,28850,37859,205.955438058865
01021836,01,Alabama,AL,Autauga County,Cullman,Autaugaville,Track,Track,35055,256,54256128,667061,34.117682,-86.7963608,44858,32959,41497,431.782710666663
01021846,01,Alabama,AL,Autauga County,Garden City,Autaugaville,Track,Track,35070,256,125741724,1106561,33.9980493,-86.7870516,43726,28444,38686,267.624103291739
01021856,01,Alabama,AL,Autauga County,Ft Rucker,Autaugaville,Track,Track,36362,334,172610491,2735224,31.4097368,-85.7458071,68310,59974,38238,375.974145872863
0102186,01,Alabama,AL,Autauga County,Evergreen,Autaugaville,Track,Track,36401,251,90973774,334237,31.4626914,-86.9984985,34206,16878,39063,540.009840509178
01021866,01,Alabama,AL,Autauga County,Ozark,Autaugaville,Track,Track,36360,334,61929515,413858,31.4833011,-85.6497139,65625,49674,60856,187.254702599691
01021876,01,Alabama,AL,Autauga County,Ozark,Autaugaville,Track,Track,36360,334,36136505,194310,31.4149425,-85.6413488,31645,31497,20477,197.090427160299
01021886,01,Alabama,AL,Autauga County,Daleville,Autaugaville,Track,Track,36322,334,23042778,0,31.3021556,-85.7056542,58239,61815,49004,174.783871680196
01021896,01,Alabama,AL,Autauga County,Midland City,Autaugaville,Track,Track,36350,334,110987657,53907,31.3374977,-85.4657416,42703,33772,31328,286.325626457054
01021906,01,Alabama,AL,Autauga County,Selma,Autaugaville,Track,Track,36703,334,182250003,1051254,32.5526588,-87.0352646,65458,45588,47564,195.792547321148
01021916,01,Alabama,AL,Autauga County,Selma,Autaugaville,Track,Track,36701,334,2711300,43964,32.4157042,-87.0280529,23614,15982,20480,265.821074356268
01021926,01,Alabama,AL,Autauga County,Orrville,Autaugaville,Track,Track,36767,334,541139544,6763758,32.3256691,-87.2191795,30567,20489,27688,321.689290691302
01021936,01,Alabama,AL,Autauga County,Selma,Autaugaville,Track,Track,36701,334,173119838,4647634,32.3277469,-86.8942838,26582,19843,18440,208.29689968728
01021946,01,Alabama,AL,Autauga County,Rainsville,Autaugaville,Track,Track,36986,256,108426406,467193,34.5326223,-85.8630796,47226,37458,34391,509.653155675645
01021956,01,Alabama,AL,Autauga County,Fyffe,Autaugaville,Track,Track,35971,256,214238075,23139,34.4340842,-85.9687233,41338,40569,19063,330.992239601562
0102196,01,Alabama,AL,Autauga County,Andalusia,Autaugaville,Track,Track,36421,334,15438185,163537,31.326445,-86.507274,42170,26135,46568,569.205878105233
01021966,01,Alabama,AL,Autauga County,Crossville,Autaugaville,Track,Track,35962,256,151362799,244096,34.2571822,-86.025488,50821,54135,34788,224.317357145446
01021976,01,Alabama,AL,Autauga County,Ft Payne,Autaugaville,Track,Track,35967,256,116782043,31876,34.3660315,-85.6964687,46422,40662,30381,396.418269037896
01021986,01,Alabama,AL,Autauga County,Fort Payne,Autaugaville,Track,Track,35967,256,91371430,86324,34.4574952,-85.635214,57662,300000,30695,218.525416389677
01021996,01,Alabama,AL,Autauga County,Deatsville,Autaugaville,Track,Track,36022,334,280794165,9491833,32.6948549,-86.2223176,55257,50235,34870,276.053770927848
01022006,01,Alabama,AL,Autauga County,Eclectic,Autaugaville,Track,Track,36024,334,165330802,1570890,32.6328834,-86.0345965,51818,50579,30368,368.451033314108
