"country_name","country_border_name"
"Iraq","Jordan"
"Iraq","Kuwait"
"Iraq","Saudi Arabia"
"Iraq","Syria"
"Iraq","Turkey"
"Iran","Afghanistan"
"Iran","Armenia"
"Iran","Azerbaijan"
"Iran","Iraq"
"Iran","Pakistan"
"Iran","Turkey"
"Iran","Turkmenistan"
"Iceland",""
"Italy","Austria"
"Italy","France"
"Italy","San Marino"
"Italy","Slovenia"
"Italy","Switzerland"
"Italy","Holy See"
"Jersey",""
"Jamaica",""
"Jordan","Iraq"
"Jordan","Israel"
"Jordan","Palestine"
"Jordan","Saudi Arabia"
"Jordan","Syria"
"Japan",""
"Kenya","Ethiopia"
"Kenya","Somalia"
"Kenya","Somaliland"
"Kenya","S. Sudan"
"Kenya","Tanzania"
"Kenya","Uganda"
"Kosovo","Albania"
"Kosovo","Macedonia"
"Kosovo","Montenegro"
"Kosovo","Serbia"
"Kyrgyzstan","China"
"Kyrgyzstan","Kazakhstan"
"Kyrgyzstan","Tajikistan"
"Kyrgyzstan","Uzbekistan"
"Cambodia","Laos"
"Cambodia","Thailand"
"Cambodia","Vietnam"
"Kiribati",""
"Comoros",""
"Saint Kitts and Nevis",""
"North Korea","China"
"North Korea","South Korea"
"North Korea","Russia"
"South Korea","North Korea"
"Kuwait","Iraq"
"Kuwait","Saudi Arabia"
"Cayman Islands",""
"Kazakhstan","China"
"Kazakhstan","Kyrgyzstan"
"Kazakhstan","Russia"
"Kazakhstan","Turkmenistan"
"Kazakhstan","Uzbekistan"
"Laos","China"
"Laos","Cambodia"
"Laos","Myanmar"
"Laos","Thailand"
"Laos","Vietnam"
"Lebanon","Israel"
"Lebanon","Syria"
"Saint Lucia",""
"Liechtenstein","Austria"
"Liechtenstein","Switzerland"
"Sri Lanka",""
"Liberia","Côte d'Ivoire"
"Liberia","Guinea"
"Liberia","Sierra Leone"
"Lesotho","South Africa"
"Lithuania","Belarus"
"Lithuania","Latvia"
"Lithuania","Poland"
"Lithuania","Russia"
"Luxembourg","Belgium"
"Luxembourg","Germany"
"Luxembourg","France"
"Latvia","Belarus"
"Latvia","Estonia"
"Latvia","Lithuania"
"Latvia","Russia"
"Libya","Algeria"
"Libya","Chad"
"Libya","Egypt"
"Libya","Niger"
"Libya","Sudan"
"Libya","Tunisia"
"Macedonia","Kosovo"
"Morocco","Algeria"
"Morocco","Spain"
"Morocco","W. Sahara"
"Monaco","France"
"Moldova","Romania"
"Moldova","Ukraine"
"Montenegro","Albania"
"Montenegro","Kosovo"
"Montenegro","Bosnia and Herz."
"Montenegro","Croatia"
"Montenegro","Serbia"
"Fr. S. Antarctic Lands","Sint Maarten (Dutch part)"
"Madagascar",""
"Marshall Islands",""
"Macedonia","Albania"
"Macedonia","Bulgaria"
"Macedonia","Greece"
"Macedonia","Serbia"
"Mali","Algeria"
"Mali","Burkina Faso"
"Mali","Côte d'Ivoire"
"Mali","Guinea"
"Mali","Mauritania"
"Mali","Niger"
"Mali","Senegal"
"Myanmar","Bangladesh"
"Myanmar","China"
"Myanmar","India"
"Myanmar","Laos"
"Myanmar","Thailand"
"Mongolia","China"
"Mongolia","Russia"
"Macao","China"
"Northern Mariana Islands",""
"Martinique",""
"Mauritania","Algeria"
"Mauritania","Mali"
"Mauritania","Senegal"
"Mauritania","W. Sahara"
"Montserrat",""
"Malta",""
"Mauritius",""
"Maldives",""
"Malawi","Mozambique"
"Malawi","Tanzania"
"Malawi","Zambia"
"Mexico","Belize"
"Mexico","Guatemala"
"Mexico","United States of America"
"Malaysia","Brunei"
"Malaysia","Indonesia"
"Malaysia","Thailand"
"Mozambique","Malawi"
"Mozambique","eSwatini"
"Mozambique","South Africa"
"Mozambique","Tanzania"
"Mozambique","Zambia"
"Mozambique","Zimbabwe"
"Namibia","Angola"
"Namibia","Botswana"
"Namibia","South Africa"
"Namibia","Zambia"
"New Caledonia",""
"Niger","Algeria"
"Niger","Benin"
"Niger","Burkina Faso"
"Niger","Chad"
"Niger","Libya"
"Niger","Mali"
"Niger","Nigeria"
"Norfolk Island",""
"Nigeria","Benin"
"Nigeria","Cameroon"
"Nigeria","Chad"
"Nigeria","Niger"
"Nicaragua","Costa Rica"
"Nicaragua","Honduras"
"Netherlands","Belgium"
"Netherlands","Germany"
"Norway","Finland"
"Norway","Russia"
"Norway","Sweden"
"Nepal","China"
"Nepal","India"
"Nauru",""
"Niue",""
"New Zealand",""
"Oman","United Arab Emirates"
"Oman","Saudi Arabia"
"Oman","Yemen"
"Panama","Colombia"
"Panama","Costa Rica"
"Peru","Bolivia"
"Peru","Brazil"
"Peru","Chile"
"Peru","Colombia"
"Peru","Ecuador"
"Fr. S. Antarctic Lands",""
"Papua New Guinea","Indonesia"
"Philippines",""
"Pakistan","Afghanistan"
"Pakistan","China"
"Pakistan","India"
"Pakistan","Iran"
"Poland","Belarus"
"Poland","Czechia"
"Poland","Germany"
"Poland","Lithuania"
"Poland","Russia"
"Poland","Slovakia"
"Poland","Ukraine"
"Saint Pierre and Miquelon",""
"Pitcairn",""
"Puerto Rico",""
"Palestine","Egypt"
"Palestine","Israel"
"Palestine","Jordan"
"Portugal","Spain"
"Palau",""
"Paraguay","Argentina"
"Paraguay","Bolivia"
"Paraguay","Brazil"
"Qatar","Saudi Arabia"
"Reunion",""
"Romania","Bulgaria"
"Romania","Hungary"
"Romania","Moldova"
"Romania","Serbia"
"Romania","Ukraine"
"Serbia","Albania"
"Serbia","Bosnia and Herz."
"Serbia","Bulgaria"
"Serbia","Croatia"
"Serbia","Hungary"
"Serbia","Montenegro"
"Serbia","Macedonia"
"Serbia","Romania"
"Russia","Azerbaijan"
"Russia","Belarus"
"Russia","China"
"Russia","Estonia"
"Russia","Finland"
"Russia","Georgia"
"Russia","Kazakhstan"
"Russia","North Korea"
"Russia","Latvia"
"Russia","Lithuania"
"Russia","Mongolia"
"Russia","Norway"
"Russia","Poland"
"Russia","Ukraine"
"Rwanda","Burundi"
"Rwanda","Dem. Rep. Congo"
"Rwanda","Tanzania"
"Rwanda","Uganda"
"Saudi Arabia","Iraq"
"Saudi Arabia","Jordan"
"Saudi Arabia","Kuwait"
"Saudi Arabia","Oman"
"Saudi Arabia","Qatar"
"Saudi Arabia","United Arab Emirates"
"Saudi Arabia","Yemen"
"Solomon Is.",""
"Seychelles",""
"Sudan","Central African Rep."
"Sudan","Chad"
"Sudan","Egypt"
"Sudan","Ethiopia"
"Sudan","Eritrea"
"Sudan","Libya"
"Sudan","S. Sudan"
"Sweden","Finland"
"Sweden","Norway"
"Singapore",""
"Saint Helena,""Ascension and Tristan da Cunha",""
"Slovenia","Austria"
"Slovenia","Croatia"
"Slovenia","Hungary"
"Slovenia","Italy"
"Svalbard and Jan Mayen",""
"Slovakia","Austria"
"Slovakia","Czechia"
"Slovakia","Hungary"
"Slovakia","Poland"
"Slovakia","Ukraine"
"Sierra Leone","Guinea"
"Sierra Leone","Liberia"
"San Marino","Italy"
"Senegal","Gambia"
"Senegal","Guinea"
"Senegal","Guinea-Bissau"
"Senegal","Mali"
"Senegal","Mauritania"
"Serbia","Kosovo"
"Somalia","Djibouti"
"Somalia","Ethiopia"
"Somalia","Kenya"
"Somaliland","Djibouti"
"Somaliland","Ethiopia"
"Somaliland","Kenya"
"Suriname","Brazil"
"Suriname","Fr. S. Antarctic Lands"
"Suriname","Guyana"
"S. Sudan","Central African Rep."
"S. Sudan","Dem. Rep. Congo"
"S. Sudan","Ethiopia"
"S. Sudan","Kenya"
"S. Sudan","Sudan"
"S. Sudan","Uganda"
"Sao Tome and Principe",""
"El Salvador","Guatemala"
"El Salvador","Honduras"
"Sint Maarten (Dutch part)","Fr. S. Antarctic Lands"
"Syria","Iraq"
"Syria","Israel"
"Syria","Jordan"
"Syria","Lebanon"
"Syria","Turkey"
"eSwatini","Mozambique"
"eSwatini","South Africa"
"Turks and Caicos Islands",""
"Chad","Cameroon"
"Chad","Central African Rep."
"Chad","Libya"
"Chad","Niger"
"Chad","Nigeria"
"Chad","Sudan"
"Fr. S. Antarctic Lands",""
"Togo","Benin"
"Togo","Burkina Faso"
"Togo","Ghana"
"Thailand","Cambodia"
"Thailand","Laos"
"Thailand","Malaysia"
"Thailand","Myanmar"
"Tajikistan","Afghanistan"
"Tajikistan","China"
"Tajikistan","Kyrgyzstan"
"Tajikistan","Uzbekistan"
"Tokelau",""
"Timor-Leste","Indonesia"
"Turkmenistan","Afghanistan"
"Turkmenistan","Iran"
"Turkmenistan","Kazakhstan"
"Turkmenistan","Uzbekistan"
"Tunisia","Algeria"
"Tunisia","Libya"
"Tonga",""
"Turkey","Armenia"
"Turkey","Azerbaijan"
"Turkey","Bulgaria"
"Turkey","Georgia"
"Turkey","Greece"
"Turkey","Iran"
"Turkey","Iraq"
"Turkey","Syria"
"Trinidad and Tobago",""
"Tuvalu",""
"Taiwan",""
"Tanzania","Burundi"
"Tanzania","Dem. Rep. Congo"
"Tanzania","Kenya"
"Tanzania","Malawi"
"Tanzania","Mozambique"
"Tanzania","Rwanda"
"Tanzania","Uganda"
"Tanzania","Zambia"
"Ukraine","Belarus"
"Ukraine","Hungary"
"Ukraine","Moldova"
"Ukraine","Poland"
"Ukraine","Romania"
"Ukraine","Russia"
"Ukraine","Slovakia"
"Uganda","Dem. Rep. Congo"
"Uganda","Kenya"
"Uganda","Rwanda"
"Uganda","S. Sudan"
"Uganda","Tanzania"
"United States Minor Outlying Islands",""
"United States of America","Canada"
"United States of America","Mexico"
"Uruguay","Argentina"
"Uruguay","Brazil"
"Uzbekistan","Afghanistan"
"Uzbekistan","Kazakhstan"
"Uzbekistan","Kyrgyzstan"
"Uzbekistan","Tajikistan"
"Uzbekistan","Turkmenistan"
"Holy See","Italy"
"Saint Vincent and the Grenadines",""
"Venezuela","Brazil"
"Venezuela","Colombia"
"Venezuela","Guyana"
"Virgin Islands (British)",""
"Virgin Islands (U.S.)",""
"Vietnam","Cambodia"
"Vietnam","China"
"Vietnam","Laos"
"Vanuatu",""
"Wallis and Futuna",""
"Samoa",""
"Yemen","Oman"
"Yemen","Saudi Arabia"
"Mayotte",""
"South Africa","Botswana"
"South Africa","Lesotho"
"South Africa","Mozambique"
"South Africa","Namibia"
"South Africa","eSwatini"
"South Africa","Zimbabwe"
"Zambia","Angola"
"Zambia","Botswana"
"Zambia","Dem. Rep. Congo"
"Zambia","Malawi"
"Zambia","Mozambique"
"Zambia","Namibia"
"Zambia","Tanzania"
"Zambia","Zimbabwe"
"Zimbabwe","Botswana"
"Zimbabwe","Mozambique"
"Zimbabwe","South Africa"
"Zimbabwe","Zambia"
